run_id,description,test_roc_auc_te_mean,test_roc_auc_te_std,test_roc_auc_note_mean,test_roc_auc_note_std,delta_test_roc_auc_te_minus_note_mean,delta_test_roc_auc_te_minus_note_std,test_pr_auc_te_mean,test_pr_auc_te_std,test_pr_auc_note_mean,test_pr_auc_note_std,delta_test_pr_auc_te_minus_note_mean,delta_test_pr_auc_te_minus_note_std
A4_bucket,"A4 bucket edges (1, 2, 4, 8, 16, 24, 48, 96, 168)",0.7486254710492038,0.0030716816703017314,0.7385617344843207,0.0007307761883671805,0.01006373656488313,0.0023409054819345508,0.36564078947146944,0.014142501141990619,0.35040363228713745,0.014941701361667852,0.015237157184332023,0.0007992002196772337
A4_gap1,"A4 gap g=1 windows (1, 2, 4, 8, 16, 24, 48, 96, 168)",0.7480796246199078,0.004187871772522359,0.7380920003001809,0.0019000609562124778,0.009987624319726995,0.002287810816309881,0.3645594852269898,0.01197026010493727,0.3501116570794274,0.0137556487436315,0.014447828147562403,0.0017853886386942303
A1_event50,A1 event windows last50,0.750379337917213,0.002543220954825823,0.7404851695347183,0.0015199238578258415,0.009894168382494739,0.0010232970969999817,0.36749281026263136,0.014021722240967403,0.35259261608435133,0.015129110474964957,0.014900194178280035,0.0011073882339975567
A3_calendar,"A3 calendar windows on trailing (1, 6, 24, 48, 168)",0.7500649870220046,0.0024254359378378856,0.7402484424144375,0.00158106754733277,0.009816544607567035,0.0008443683905051154,0.36690738569068027,0.01485396425524532,0.35180378027794995,0.015253876285451407,0.015103605412730287,0.0003999120302060861
A2_event50,A2 event windows last50,0.7502683185254306,0.002680585691690887,0.740727409707528,0.0014549064397359078,0.009540908817902705,0.0012256792519549796,0.36794298770907635,0.015297908019956676,0.3528037650428138,0.015373537635841858,0.015139222666262553,7.562961588518198e-05
A4_calendar,"A4 calendar windows on trailing (1, 2, 4, 8, 16, 24, 48, 96, 168)",0.7496245936998052,0.003259531318506114,0.7400925420848724,0.0013386310900250433,0.009532051614932813,0.0019209002284810703,0.3667018718582764,0.014876217623319785,0.35105940050383444,0.01665918117129013,0.015642471354442022,0.0017829635479703432
A3_bucket,"A3 bucket edges (1, 6, 24, 48, 168)",0.74889505665898,0.0024741596959741473,0.739398979523554,0.0011864459033197492,0.009496077135425995,0.001287713792654398,0.36467018472713575,0.014108887770595078,0.35044934427401464,0.01492839012287355,0.014220840453121109,0.0008195023522784709
A3_event50,A3 event windows last50,0.7505440544384934,0.0026942565036759108,0.7410619406261894,0.001663155918538222,0.009482113812304072,0.0010311005851376888,0.36794267302246164,0.014841261899140801,0.35309652768244476,0.01533353580563941,0.014846145340016853,0.0004922739064986072
A4_trailing,"A4 trailing windows (1, 2, 4, 8, 16, 24, 48, 96, 168)",0.7487848060503319,0.004501534379282975,0.7403074655044681,0.0015122161321931128,0.008477340545863854,0.0029893182470898624,0.36547966479282884,0.013593991177279092,0.3521873040692553,0.015509676851916258,0.013292360723573537,0.0019156856746371652
A4_event50,A4 event windows last50,0.7496173419270317,0.0029802485354730322,0.7412127525558636,0.0018782569856014295,0.008404589371168059,0.0011019915498716028,0.36646180988186483,0.014827554235427441,0.35315630874716863,0.015409744003882056,0.013305501134696224,0.0005821897684546137
